"Time","F ext","Out 1","R","Theta"
"370.312","5711.61","6.17188","0.482307","88.8231"
"371.25","5783.42","6.25","0.482602","88.827"
"372.187","5784.21","6.25","0.482749","88.8246"
"373.125","5784.24","6.25","0.482768","88.8248"
"374.062","5784.28","6.25","0.482778","88.8252"
"375","5784.31","6.25","0.482787","88.8254"
"375.937","5855.33","6.32812","0.483073","88.829"
"376.875","5856.42","6.32812","0.483207","88.8266"
"377.812","5856.42","6.32812","0.483222","88.8266"
"378.75","5856.46","6.32812","0.48323","88.8264"
"379.687","5856.47","6.32812","0.483241","88.8266"
"380.625","5927.6","6.40625","0.483531","88.8303"
"381.562","5928.52","6.40625","0.483661","88.8278"
"382.5","5928.53","6.40625","0.483669","88.8281"
"383.437","5928.56","6.40625","0.483678","88.828"
"384.375","5928.56","6.40625","0.483684","88.8277"
"385.312","6000.06","6.48438","0.48397","88.8311"
"386.25","6001.11","6.48438","0.484098","88.8285"
"387.187","6001.12","6.48438","0.484107","88.8284"
"388.125","6001.14","6.48438","0.484109","88.8284"
"389.062","6001.12","6.48438","0.484119","88.8285"
"390","6071.6","6.5625","0.484411","88.8317"
"390.937","6072.8","6.5625","0.484544","88.829"
"391.875","6072.85","6.5625","0.484554","88.8291"
"392.812","6072.85","6.5625","0.484561","88.8292"
"393.75","6072.9","6.5625","0.484559","88.8292"
"394.687","6143.71","6.64062","0.484845","88.8325"
"395.625","6145.11","6.64062","0.484983","88.8304"
"396.562","6145.12","6.64062","0.484991","88.8305"
"397.5","6145.13","6.64062","0.484999","88.8305"
"398.437","6145.12","6.64062","0.485003","88.8305"
"399.375","6216.22","6.71875","0.485296","88.8336"
"400.312","6217.16","6.71875","0.485437","88.8316"
"401.25","6217.19","6.71875","0.485451","88.8318"
"402.187","6217.24","6.71875","0.485453","88.8319"
"403.125","6217.28","6.71875","0.485459","88.8321"
"404.062","6288.82","6.79688","0.485754","88.8354"
"405","6289.58","6.79688","0.48589","88.8332"
"405.937","6289.62","6.79688","0.485903","88.8333"
"406.875","6289.61","6.79688","0.485913","88.8334"
"407.812","6289.66","6.79688","0.485916","88.8336"
"408.75","6360.61","6.875","0.486209","88.8366"
"409.687","6361.51","6.875","0.486346","88.8344"
"410.625","6361.52","6.875","0.486363","88.8345"
"411.562","6361.51","6.875","0.486369","88.8344"
"412.5","6361.55","6.875","0.486375","88.8344"
"413.437","6433.33","6.95312","0.486663","88.8374"
"414.375","6434.12","6.95312","0.486791","88.8354"
"415.312","6434.14","6.95312","0.486808","88.8355"
"416.25","6434.17","6.95312","0.486813","88.8354"
"417.187","6434.19","6.95312","0.486826","88.8353"
"418.125","6504.96","7.03125","0.487123","88.8378"
"419.062","6505.99","7.03125","0.487259","88.8356"
"420","6506.02","7.03125","0.487268","88.8355"
"420.937","6506.02","7.03125","0.487268","88.8355"
"421.875","6506.01","7.03125","0.487267","88.8354"
"422.812","6577.35","7.10938","0.487563","88.8382"
"423.75","6578.27","7.10938","0.4877","88.8362"
"424.687","6578.3","7.10938","0.487721","88.8363"
"425.625","6578.35","7.10938","0.487737","88.8365"
"426.562","6578.4","7.10938","0.487742","88.8366"
"427.5","6649.6","7.1875","0.488057","88.8394"
"428.437","6650.58","7.1875","0.488205","88.8378"
"429.375","6650.6","7.1875","0.488221","88.8379"
"430.312","6650.65","7.1875","0.488227","88.838"
"431.25","6650.65","7.1875","0.488227","88.8379"
"432.187","6721.85","7.26562","0.488519","88.8404"
"433.125","6722.62","7.26562","0.488658","88.8384"
"434.062","6722.63","7.26562","0.488671","88.8386"
"435","6722.67","7.26562","0.488671","88.8388"
"435.937","6722.68","7.26562","0.488678","88.8385"
"436.875","6793.14","7.34375","0.488965","88.8408"
"437.812","6794.05","7.34375","0.489098","88.8388"
"438.75","6794.07","7.34375","0.48911","88.8389"
"439.687","6794.06","7.34375","0.489121","88.8389"
"440.625","6794.12","7.34375","0.489137","88.8391"
"441.562","6865.38","7.42188","0.489427","88.8414"
"442.5","6866.43","7.42188","0.489566","88.8393"
"443.437","6866.42","7.42188","0.489583","88.8391"
"444.375","6866.42","7.42188","0.489586","88.8391"
"445.312","6866.46","7.42188","0.489593","88.8391"
"446.25","6936.82","7.5","0.489874","88.8414"
"447.187","6937.89","7.5","0.490005","88.8395"
"448.125","6937.91","7.5","0.490027","88.8395"
"449.062","6937.99","7.5","0.490039","88.8396"
"450","6938","7.5","0.490047","88.8396"
"450.937","7008.73","7.57812","0.490338","88.8419"
"451.875","7009.57","7.57812","0.490477","88.84"
"452.812","7009.54","7.57812","0.490487","88.8401"
"453.75","7009.54","7.57812","0.490487","88.84"
"454.687","7009.56","7.57812","0.490494","88.8398"
"455.625","7080.7","7.65625","0.49078","88.8418"
"456.562","7081.59","7.65625","0.490914","88.8398"
"457.5","7081.61","7.65625","0.49093","88.8396"
"458.437","7081.55","7.65625","0.490934","88.8393"
"459.375","7081.4","7.65625","0.49093","88.8381"
"460.312","7152.13","7.73438","0.491209","88.8394"
"461.25","7152.87","7.73438","0.491348","88.8371"
"462.187","7152.97","7.73438","0.491369","88.8372"
"463.125","7153.05","7.73438","0.491385","88.8375"
"464.062","7153.15","7.73438","0.491397","88.838"
"465","7224.04","7.8125","0.491691","88.8407"
"465.937","7225.41","7.8125","0.491827","88.8387"
"466.875","7225.39","7.8125","0.491846","88.8387"
"467.812","7225.41","7.8125","0.49186","88.8386"
"468.75","7225.47","7.8125","0.491865","88.8387"
"469.687","7296.02","7.89062","0.492155","88.8408"
"470.625","7297.13","7.89062","0.492288","88.839"
"471.562","7297.13","7.89062","0.492307","88.8388"
"472.5","7297.14","7.89062","0.492318","88.8387"
"473.437","7297.12","7.89062","0.492325","88.8387"
"474.375","7367.79","7.96875","0.492618","88.8407"
"475.312","7368.83","7.96875","0.492756","88.8391"
"476.25","7368.86","7.96875","0.49277","88.839"
"477.187","7368.91","7.96875","0.492775","88.839"
"478.125","7368.95","7.96875","0.492779","88.8391"
"479.062","7439.89","8.04688","0.493072","88.8411"
"480","7440.49","8.04688","0.493206","88.8392"
"480.937","7440.49","8.04688","0.493218","88.8392"
"481.875","7440.51","8.04688","0.493219","88.8395"
"482.812","7440.56","8.04688","0.49323","88.8393"
"483.75","7511.33","8.125","0.493517","88.8409"
"484.687","7512.53","8.125","0.493646","88.8387"
"485.625","7512.49","8.125","0.493652","88.8385"
"486.562","7512.55","8.125","0.493658","88.8386"
"487.5","7512.63","8.125","0.493671","88.8389"
"488.437","7582.37","8.20312","0.493964","88.8409"
"489.375","7583.71","8.20312","0.494102","88.8393"
"490.312","7583.75","8.20312","0.494112","88.8394"
"491.25","7583.72","8.20312","0.494115","88.8394"
"492.187","7583.75","8.20312","0.494127","88.8394"
"493.125","7654.85","8.28125","0.494423","88.8411"
"494.062","7655.49","8.28125","0.494556","88.8392"
"495","7655.52","8.28125","0.494576","88.8393"
"495.937","7655.52","8.28125","0.494586","88.8391"
"496.875","7655.57","8.28125","0.49459","88.839"
"497.812","7726.76","8.35938","0.494876","88.8408"
"498.75","7727.83","8.35938","0.495015","88.8391"
"499.687","7727.88","8.35938","0.495033","88.8393"
"500.625","7727.96","8.35938","0.495043","88.8395"
"501.562","7727.97","8.35938","0.495046","88.8397"
"502.5","7798.99","8.4375","0.495348","88.8414"
"503.437","7799.89","8.4375","0.495484","88.8397"
"504.375","7799.92","8.4375","0.495492","88.8396"
"505.312","7799.94","8.4375","0.495499","88.8397"
"506.25","7799.94","8.4375","0.495507","88.8399"
